As_class,ts_soc,ts_silt,ts_ph,ts_clay,ts_cec,ss_soc,ss_silt,ss_ph,ss_clay,ss_cec,fluvisols,et0_yr,ai_et0,elevation,slope,precip,temp,distance_to_river,latitude,longitude
0,256,340,54,273,179,63,272,55,413,143,6,1500,11591,120,0.328490198,1739,24.11666663,640.149402,26.17941075,93.99946888
1,256,324,57,319,194,76,292,58,373,158,6,1489,12322,123,0.328490198,1835,24.04999987,2136.156457,26.31519099,94.06909864
1,269,328,56,315,185,68,281,57,391,150,6,1491,12116,132,0.328490198,1807,23.9749999,465.9035515,26.27296441,94.06921016
1,276,334,57,318,199,65,305,58,377,162,6,1495,11820,115,0.328490198,1768,24.11666663,527.0698273,26.23174397,94.01031372
1,265,321,57,277,165,56,268,59,411,138,7,1483,12764,114,0.328490198,1893,24.05833324,277.0083555,26.38296812,94.12865716
1,266,315,57,314,185,60,290,58,400,156,8,1496,11807,117,0.328490198,1767,24.14166673,563.9921433,26.24166391,93.99911681
1,278,302,57,306,211,88,270,58,376,175,8,1484,12564,125,0.328490198,1865,24.00833305,1177.342205,26.33726239,94.11847161
1,237,337,57,289,174,64,316,58,361,158,9,1488,12392,109,0.328490198,1844,24.08333333,461.2873353,26.34383823,94.04771127
0,244,338,56,259,183,59,305,57,332,157,9,1483,14323,88,0.328490198,2125,24.07499981,2940.471882,26.64111965,93.69101313
1,287,318,57,321,194,78,294,58,372,161,9,1485,12406,126,0.328490198,1843,24.03333314,1447.90607,26.31671045,94.07666863
0,229,345,53,256,187,52,306,53,348,155,10,1484,14315,93,0.328490198,2125,24.07499981,1651.800994,26.63629131,93.67066925
0,268,353,56,262,155,60,343,58,336,138,10,1499,14566,81,0.328490198,2184,24.19999997,1551.14699,26.68495832,93.67365945
1,270,297,54,292,169,80,268,55,375,139,10,1470,13889,102,0.328490198,2043,24.00833305,371.4186205,26.53580905,94.18090024
1,280,310,57,293,182,66,274,58,405,154,10,1482,12958,101,0.328490198,1921,24.08333333,363.1478834,26.42276145,94.1307745
1,297,319,56,251,174,54,283,58,360,152,10,1453,14514,108,0.328490198,2110,23.88333352,425.7209611,26.58959698,94.24647015
1,304,302,57,297,176,66,265,58,406,145,10,1481,13009,100,0.328490198,1928,24.08333333,29.03401939,26.42935561,94.13153505
1,264,349,55,271,194,56,279,56,417,147,11,1481,12658,102,0.328490198,1876,24.03333314,1220.793283,26.39062409,94.07032996
0,275,341,58,275,177,58,298,59,400,147,11,1485,12416,104,0.328490198,1845,24.05833324,351.3433622,26.36262037,94.01285486
0,249,329,56,267,165,50,302,58,350,147,12,1476,15220,88,0.328490198,2248,24.11666663,291.8568479,26.71569145,93.94455512
1,274,324,54,263,205,74,278,55,366,171,12,1460,14654,99,0.328490198,2141,23.92500003,338.8934643,26.61757865,94.18549106
